,target,params
alpha,0.4206739213835607,4.246144504190337
colsample_bytree,0.4206739213835607,0.6733984542970959
gamma,0.4206739213835607,2.079441455149396
learning_rate,0.4206739213835607,0.29627862159231916
max_depth,0.4206739213835607,1.0390378386239745
min_child_weight,0.4206739213835607,3.824095925763153
n_estimators,0.4206739213835607,146.13044515425838
reg_lambda,0.4206739213835607,1.8812016296296508
scale_pos_weight,0.4206739213835607,3.3070942103080836
subsample,0.4206739213835607,0.38471341396387015
